# Name_of_leauge Season AvgExpend +INFLACION
Premier League 2009 3995157.38 4547499.33
Premier League 2010 3995157.38 4506118.12
Premier League 2000 3995157.38 5558729.97
Premier League 2018 3995157.38 4058539.99
Premier League 2005 3995157.38 4968463.5
Premier League 2009 3995157.38 4547499.33
Premier League 2010 3995157.38 4506118.12
Premier League 2000 3995157.38 5558729.97
Premier League 2018 3995157.38 4058539.99
Premier League 2005 3995157.38 4968463.5
Premier League 2009 3995157.38 4547499.33
Premier League 2010 3995157.38 4506118.12
Premier League 2000 3995157.38 5558729.97
Premier League 2018 3995157.38 4058539.99
Premier League 2005 3995157.38 4968463.5
Premier League 2009 3995157.38 4547499.33
Premier League 2010 3995157.38 4506118.12
Premier League 2000 3995157.38 5558729.97
Premier League 2018 3995157.38 4058539.99
Premier League 2005 3995157.38 4968463.5
Premier League 2009 3995157.38 4547499.33
#      => End of file <=
